ID,Bird species,Gender,Purchase Date,Purchase Cost,Purchased From,Weight at Purchase,Age at Purchase,Hatched Date,Remark,Breeding at Purchase
,AFRIAN RING NECKED PARROT ,FEMALE,,20000,,,,,,
,AFRIAN RING NECKED PARROT ,FEMALE,,20000,,,,,,
,AFRIAN RING NECKED PARROT ,FEMALE,,20000,,,,,,
,AFRIAN RING NECKED PARROT ,FEMALE,,20000,,,,,,
,AFRIAN RING NECKED PARROT ,FEMALE,,20000,,,,,,
,AFRIAN RING NECKED PARROT ,MALE,,20000,,,,,,
,AFRIAN RING NECKED PARROT ,MALE,,20000,,,,,,
,AFRIAN RING NECKED PARROT ,MALE,,20000,,,,,,
,AFRIAN RING NECKED PARROT ,MALE,,20000,,,,,,
,AFRIAN RING NECKED PARROT ,MALE,,20000,,,,,,
,BARE EYED COCKATOO ,FEMALE,2024,85000,udumaliapet,,adult,,,0.0
,BARE EYED COCKATOO ,MALE,2024,85000,,,adult,,,0.0
,BLACK CAP LORI ,FEMALE,2023,42500,,,,,,
,BLACK CAP LORI ,FEMALE,2019,42500,,,,,,
,BLACK CAP LORI ,FEMALE,2018,42500,,,,,,
,BLACK CAP LORI ,FEMALE,2008,42500,,,,,,
,BLACK CAP LORI ,MALE,2023,42500,,,,,,
,BLACK CAP LORI ,MALE,2019,42500,,,,,,
,BLACK CAP LORI ,MALE,2018,42500,,,,,,
,BLACK CAP LORI ,MALE,2014,42500,,,,,,
,BLACK LORI ,FEMALE,2019,55000,,,,,,
,BLACK LORI ,MALE,2019,55000,,,,,,
,BLACK WINGED LORI ,FEMALE,2019,55000,,,,,,
,BLACK WINGED LORI ,FEMALE,2019,55000,,,,,,
,BLACK WINGED LORI ,MALE,2019,55000,,,,,,
,BLACK WINGED LORI ,MALE,2019,55000,,,,,,
,BLUE AND GOLD MACAW ,FEMALE,2021,167500,,,,,,
,BLUE AND GOLD MACAW ,FEMALE,2021,150000,,,,,,
,BLUE AND GOLD MACAW ,FEMALE,2021,150000,,,,,,
,BLUE AND GOLD MACAW ,FEMALE,2016,137500,,,,,,
,BLUE AND GOLD MACAW ,MALE,2016,137500,,,,,,
,BLUE AND GOLD MACAW ,MALE,2021,150000,,,,,,
,BLUE AND GOLD MACAW ,MALE,2021,150000,,,,,,
,BLUE AND GOLD MACAW ,MALE,2021,167500,,,,,,
,BLUE AND GOLD MACAW ,MALE,2023,150000,,,,,,
,BLUE EYED COCKATOO ,FEMALE,2024,350000,,,adult,,,0.0
,BLUE EYED COCKATOO ,FEMALE,2024,350000,,,adult,,,0.0
,BLUE EYED COCKATOO ,MALE,2024,350000,,,adult,,,0.0
,BLUE EYED COCKATOO ,MALE,2024,350000,,,adult,,,0.0
,BLUE FRONTED AMAZON ,FEMALE,2024,75000,,,,,,
,BLUE FRONTED AMAZON ,FEMALE,2024,75000,,,,,,
,BLUE FRONTED AMAZON ,MALE,2024,75000,,,,,,
,BLUE STREAK LORI ,FEMALE,x,x,,,,2024.0,,
,BLUE STREAK LORI ,FEMALE,2019,37500,,,,,,
,BLUE STREAK LORI ,MALE,x,x,,,,2024.0,,
,BLUE STREAK LORI ,MALE,2019,37500,,,,,,
,BLUE THROATED MACAW ,FEMALE,2024,1250000,,,,,,1.0
,BLUE THROATED MACAW ,FEMALE,2023,612500,,,chick,,,
,BLUE THROATED MACAW ,MALE,2024,1250000,,,,,,1.0
,BLUE THROATED MACAW ,MALE,2023,612500,,,chick,,,
,BRONZE WINGED PIONUS ,FEMALE,2024,52500,,,,,,
,BRONZE WINGED PIONUS ,FEMALE,2024,52500,,,,,,
,BRONZE WINGED PIONUS ,FEMALE,2024,75000,,,,,,
,BRONZE WINGED PIONUS ,MALE,2024,75000,,,,,,
,BROWN LORI ,FEMALE,2018,45000,,,,,,
,BROWN LORI ,FEMALE,2018,45000,,,,,,
,BROWN LORI ,MALE,2018,45000,,,,,,
,BROWN LORI ,MALE,2018,45000,,,,,,
,BUFFON MACAW ,FEMALE,2023,1000000,,,,,,
,BUFFON MACAW ,MALE,2023,1000000,,,,,,
,CARDINAL LORI ,FEMALE,2016,67500,,,,,,
,CARDINAL LORI ,FEMALE,2016,67500,,,,,,
,CARDINAL LORI ,MALE,2016,67500,,,,,,
,CHATTERING LORI ,FEMALE,2023,55000,,,,,,
,CITRON CRESTED COCKATOO ,FEMALE,2024,600000,,,,,,
,CITRON CRESTED COCKATOO ,MALE,2022,150000,,,,,,
,COCONUT LORI ,FEMALE,2017,37500,,,,,,
,COCONUT LORI ,FEMALE,x,x,,,,1.0,,
,COCONUT LORI ,FEMALE,x,x,,,,1.0,,
,COCONUT LORI ,MALE,2017,37500,,,,,,
,COCONUT LORI ,MALE,x,,,,,1.0,,
,COCONUT LORI ,MALE,x,,,,,1.0,,
,CRIMSON WINGED PARROT ,FEMALE,2024,17500,,,,,,
,CRIMSON WINGED PARROT ,MALE,2024,17500,,,,,,
,CROWN PIGEON ,FEMALE,2021,500000,,,,,,
,CROWN PIGEON ,MALE,2021,500000,,,,,,
,CUBAN AMAZON ,FEMALE,2024,125000,,,,,,
,CUBAN AMAZON ,FEMALE,2024,125000,,,,,,
,CUBAN AMAZON ,MALE,2024,125000,,,,,,
,CUBAN AMAZON ,MALE,2024,70000,,,,,,
,DUCORPS COCKATOO ,FEMALE,2024,125000,,,,,,
,DUCORPS COCKATOO ,MALE,2024,125000,,,,,,
,DUSKY LORI ,FEMALE,2019,45000,,,,,,
,DUSKY LORI ,MALE,2019,45000,,,,,,
,DUSKY PIONUS ,FEMALE,2024,75000,,,,,,
