Bird species,Gender,Purchase Date,Purchase Cost,Purchased From,Weight at Purchase,Age at Purchase,Hatched Date,Remark,Breeding at Purchase
AFRIAN RING NECKED PARROT ,FEMALE,,20000.0,,0.0,0.0,,,0.0
AFRIAN RING NECKED PARROT ,FEMALE,,20000.0,,0.0,0.0,,,0.0
AFRIAN RING NECKED PARROT ,FEMALE,,20000.0,,0.0,0.0,,,0.0
AFRIAN RING NECKED PARROT ,FEMALE,,20000.0,,0.0,0.0,,,0.0
AFRIAN RING NECKED PARROT ,FEMALE,,20000.0,,0.0,0.0,,,0.0
AFRIAN RING NECKED PARROT ,MALE,,20000.0,,0.0,0.0,,,0.0
AFRIAN RING NECKED PARROT ,MALE,,20000.0,,0.0,0.0,,,0.0
AFRIAN RING NECKED PARROT ,MALE,,20000.0,,0.0,0.0,,,0.0
AFRIAN RING NECKED PARROT ,MALE,,20000.0,,0.0,0.0,,,0.0
AFRIAN RING NECKED PARROT ,MALE,,20000.0,,0.0,0.0,,,0.0
BARE EYED COCKATOO ,FEMALE,2024-01-01,85000.0,udumaliapet,0.0,0.0,,,0.0
BARE EYED COCKATOO ,MALE,2024-01-01,85000.0,,0.0,0.0,,,0.0
BLACK CAP LORI ,FEMALE,2023-01-01,42500.0,,0.0,0.0,,,0.0
BLACK CAP LORI ,FEMALE,2019-01-01,42500.0,,0.0,0.0,,,0.0
BLACK CAP LORI ,FEMALE,2018-01-01,42500.0,,0.0,0.0,,,0.0
BLACK CAP LORI ,FEMALE,2008-01-01,42500.0,,0.0,0.0,,,0.0
BLACK CAP LORI ,MALE,2023-01-01,42500.0,,0.0,0.0,,,0.0
BLACK CAP LORI ,MALE,2019-01-01,42500.0,,0.0,0.0,,,0.0
BLACK CAP LORI ,MALE,2018-01-01,42500.0,,0.0,0.0,,,0.0
BLACK CAP LORI ,MALE,2014-01-01,42500.0,,0.0,0.0,,,0.0
BLACK LORI ,FEMALE,2019-01-01,55000.0,,0.0,0.0,,,0.0
BLACK LORI ,MALE,2019-01-01,55000.0,,0.0,0.0,,,0.0
BLACK WINGED LORI ,FEMALE,2019-01-01,55000.0,,0.0,0.0,,,0.0
BLACK WINGED LORI ,FEMALE,2019-01-01,55000.0,,0.0,0.0,,,0.0
BLACK WINGED LORI ,MALE,2019-01-01,55000.0,,0.0,0.0,,,0.0
BLACK WINGED LORI ,MALE,2019-01-01,55000.0,,0.0,0.0,,,0.0
