ID,Bird species,Gender,Purchase Date,Purchase Cost,Purchased From,Weight at Purchase,Age at Purchase,Hatched Date,Remark,Breeding at Purchase,Subspecies
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,FORESTENS LORI ,FEMALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
,FORESTENS LORI ,FEMALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
,FORESTENS LORI ,FEMALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
,FORESTENS LORI ,FEMALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
,FORESTENS LORI ,FEMALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
,FORESTENS LORI ,MALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
,FORESTENS LORI ,MALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
,FORESTENS LORI ,MALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
,FORESTENS LORI ,MALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
,FORESTENS LORI ,MALE,1997-03-21,37500,Unknown,0,0,1997-03-21,None,3,Lori
