species_name,lifespan_years,clutch_size,avg_weight_kg,age_of_maturity_years,cites_status,endangered_status,world_population_estimated,eating_habits,egg_laying_season,habitat,behavior,additional_info,incubation_period_days,fledging_period_days,nest_type,breeding_season,preferred_climate,daily_food_requirement,predators,captive_breeding_success_rate,mortality_rate,diseases_common_health_issues,gestation_period_days,migration_pattern,conservation_actions,water_requirements,behavioral_traits,recommended_aviary_size,native_country
AFRICAN RING NECKED PARROT,40,3-5,0.4,4,Appendix II,Least Concern,1500000,"Seeds, fruits, nuts",Varies,"Savannahs, forests","Social, intelligent","Popular pet bird",24,50,Tree Hole,Spring,Tropical, dry,80g,"Birds of prey",60,15,"Psittacine beak disease",N/A,Non-migratory,Habitat preservation, Moderate,"Intelligent, vocal","Medium cage","Africa"
BARE EYED COCKATOO,40,2-3,0.5,4,Appendix II,Vulnerable,100000,"Seeds, fruits, nuts",June-August,"Forests, woodlands","Gregarious, playful","Colorful plumage",24,50,Tree Hole,Rainy season,Tropical, humid,100g,"Raptors, snakes, humans",65,12,"Avian malaria",N/A,Non-migratory,Reforestation efforts, High,"Social, playful","Large aviary","Australia, Indonesia"
BLACK CAP LORI,30,2-3,0.2,3,Appendix II,Least Concern,200000,"Fruits, nectar, insects",Spring,"Forest edges","Active, noisy","Bright green plumage",20,30,Tree Branch,Spring,Tropical, humid,50g,"Raptors, snakes",75,8,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Low,"Active, social","Small aviary","Southeast Asia"
BLACK LORI,25,2-3,0.15,2,Appendix II,Least Concern,500000,"Fruits, nectar, insects",Spring,"Tropical forests","Vocal, active","Bright colors",20,30,Tree Branch,Spring,Tropical, humid,40g,"Raptors, snakes",85,7,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Low,"Active, social","Small aviary","Southeast Asia"
BLACK WINGED LORI,20,2-3,0.1,2,Appendix II,Least Concern,1000000,"Fruits, nectar, insects",Varies,"Tropical forests","Vocal, active","Bright streaks on wings",18,25,Tree Branch,Spring,Tropical, humid,35g,"Raptors, snakes",85,5,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Low,"Vocal, active","Small aviary","Southeast Asia"
BLUE EYED COCKATOO,40,2-3,0.6,4,Appendix II,Vulnerable,150000,"Seeds, fruits, nuts",May-August,"Forests, woodlands","Gregarious, playful","Endangered due to habitat loss",24,50,Tree Hole,Rainy season,Tropical, humid,120g,"Raptors, humans",65,10,"Avian malaria",N/A,Non-migratory,Habitat preservation, High,"Social, playful","Large aviary","Australia, Papua New Guinea"
BLUE FRONTED AMAZON,30,3-4,0.4,3,Appendix II,Least Concern,300000,"Fruits, nuts, seeds",Spring-Summer,"Tropical forests","Social, intelligent","Ability to mimic speech",22,40,Tree Hole,Spring,Tropical, humid,90g,"Raptors, snakes",70,9,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Moderate,"Intelligent, vocal","Medium aviary","Central and South America"
BLUE STREAK LORI,20,2-3,0.1,2,Appendix II,Least Concern,1200000,"Fruits, nectar, insects",Spring-Summer,"Tropical forests","Vocal, active","Bright streaks on wings",20,30,Tree Branch,Spring-Summer,Tropical, humid,40g,"Raptors, snakes",85,7,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Low,"Active, social","Small aviary","Southeast Asia"
BLUE THROATED MACAW,50,2-4,1.0,5,Appendix II,Vulnerable,20000,"Seeds, nuts, berries",May-August,"Rainforests, savannas","Social, intelligent","Highly endangered",28,90,Tree Hole,Wet season,Tropical, humid,100g,"Eagles, hawks",70,10,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Moderate,"Intelligent, playful","Large flight cage","Brazil, Venezuela"
BRONZE WINGED PIONUS,20,2-3,0.3,3,Appendix II,Least Concern,400000,"Fruits, seeds, nuts",Spring,"Tropical forests","Social, active","Quiet behavior",22,35,Tree Hole,Spring,Tropical, humid,50g,"Raptors, snakes",75,8,"Psittacine beak disease",N/A,Non-migratory,Habitat preservation, Low,"Social, active","Medium aviary","Central and South America"
BROWN LORI,20,2-3,0.15,2,Appendix II,Least Concern,1000000,"Fruits, nectar, insects",Spring-Summer,"Tropical forests","Vocal, active","Bright brown feathers",20,30,Tree Branch,Spring,Tropical, humid,40g,"Raptors, snakes",85,7,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Low,"Active, social","Small aviary","Southeast Asia"
BUFFON MACAW,50,2-3,1.2,4,Appendix I,Vulnerable,25000,"Fruits, seeds, nuts",February-July,"Tropical rainforests","Social, intelligent","Requires large aviary",28,90,Tree Hole,Wet season,Tropical, humid,100g,"Hawks, eagles",60,15,"Psittacine beak disease",N/A,Non-migratory,Habitat restoration, Moderate,"Intelligent, social","Large aviary","Central and South America"
CARDINAL LORI,25,2-3,0.2,3,Appendix II,Least Concern,800000,"Fruits, nectar, insects",Spring,"Tropical forests","Vocal, active","Bright red plumage",20,30,Tree Branch,Spring,Tropical, humid,50g,"Raptors, snakes",85,7,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Low,"Vocal, active","Small aviary","Southeast Asia"
CHATTERING LORI,25,2-3,0.18,2,Appendix II,Least Concern,900000,"Fruits, nectar, insects",Spring-Summer,"Tropical forests","Vocal, active","High vocal activity",20,30,Tree Branch,Spring-Summer,Tropical, humid,40g,"Raptors, snakes",85,7,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Low,"Vocal, active","Small aviary","Southeast Asia"
CITRON CRESTED COCKATOO,40,2-3,0.5,4,Appendix II,Vulnerable,80000,"Seeds, fruits, nuts",May-August,"Rainforests, woodlands","Gregarious, playful","Requires mental stimulation",24,50,Tree Hole,Rainy season,Tropical, humid,80g,"Raptors, humans",60,15,"Avian malaria",N/A,Non-migratory,Habitat preservation, High,"Social, playful","Large aviary","Australia, Indonesia"
COCONUT LORI,25,2-3,0.2,3,Appendix II,Least Concern,600000,"Fruits, nectar, insects",Spring,"Tropical forests","Vocal, active","Bright colors",20,30,Tree Branch,Spring,Tropical, humid,40g,"Raptors, snakes",85,7,"Psittacine beak disease",N/A,Non-migratory,Habitat protection, Low,"Vocal, active","Small aviary","Southeast Asia"
CRIMSON WINGED PARROT,30,3-4,0.3,3,Appendix I,Vulnerable,30000,"Fruits, seeds, nuts",May-August,"Rainforests, savannas","Social, intelligent","Endangered due to habitat loss",24,50,Tree Hole,Wet season,Tropical, humid,80g,"Raptors, eagles",60,15,"Psittacine beak disease",N/A,Non-migratory,Habitat restoration, Moderate,"Intelligent, social","Large aviary","Central and South America"
CROWN PIGEON,15,1-2,0.3,2,Appendix II,Least Concern,500000,"Seeds, grains, fruits",Varies,"Urban areas, forests","Calm, social","Often found in urban settings",14,25,Nest Loft,Year-round,Temperate, tropical,30g,"Raptors, snakes",90,5,"Pigeon paramyxovirus",N/A,Non-migratory,Habitat protection, Low,"Calm, social","Medium cage","Worldwide"
