ID,Bird species,Gender,Purchase Date,Purchase Cost,Purchased From,Weight at Purchase,Age at Purchase,Hatched Date,Remark,Breeding at Purchase,Subspecies
,BLUE THROATED MACAW ,FEMALE,01-01-2024,1250000,Unknown,0,0,1997-03-21,None,1,Macaw
,BLUE THROATED MACAW ,MALE,01-01-2024,1250000,Unknown,0,0,1997-03-21,None,1,Macaw
,BARE EYED COCKATOO ,FEMALE,01-01-2024,85000,udumaliapet,0,3,1997-03-21,None,0,Cockatoo
,BARE EYED COCKATOO ,MALE,01-01-2024,85000,Unknown,0,3,1997-03-21,None,0,Cockatoo
,BLUE EYED COCKATOO ,FEMALE,01-01-2024,350000,Unknown,0,3,1997-03-21,None,0,Cockatoo
,BLUE EYED COCKATOO ,FEMALE,01-01-2024,350000,Unknown,0,3,1997-03-21,None,0,Cockatoo
,BLUE EYED COCKATOO ,MALE,01-01-2024,350000,Unknown,0,3,1997-03-21,None,0,Cockatoo
,BLUE EYED COCKATOO ,MALE,01-01-2024,350000,Unknown,0,3,1997-03-21,None,0,Cockatoo
,GREEN WING MACAW ,FEMALE,01-01-2017,165000,Unknown,0,2,1997-03-21,None,0,Macaw
,GREEN WING MACAW ,FEMALE,01-01-2023,350000,Unknown,0,1,1997-03-21,None,0,Macaw
,GREEN WING MACAW ,MALE,01-01-2017,165000,Unknown,0,2,1997-03-21,None,0,Macaw
,GREEN WING MACAW ,MALE,01-01-2023,200000,Unknown,0,1,1997-03-21,None,0,Macaw
,ORNATE LORI ,FEMALE,01-01-2022,37500,Unknown,0,2,1997-03-21,None,0,Lori
,ORNATE LORI ,MALE,01-01-2022,37500,Unknown,0,2,1997-03-21,None,0,Lori
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,FEMALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,AFRIAN RING NECKED PARROT ,MALE,1997-03-21,20000,Unknown,0,0,1997-03-21,None,3,Parrot
,BLACK CAP LORI ,FEMALE,01-01-2023,42500,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK CAP LORI ,FEMALE,01-01-2019,42500,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK CAP LORI ,FEMALE,01-01-2018,42500,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK CAP LORI ,FEMALE,01-01-2008,42500,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK CAP LORI ,MALE,01-01-2023,42500,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK CAP LORI ,MALE,01-01-2019,42500,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK CAP LORI ,MALE,01-01-2018,42500,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK CAP LORI ,MALE,01-01-2014,42500,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK LORI ,FEMALE,01-01-2019,55000,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK LORI ,MALE,01-01-2019,55000,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK WINGED LORI ,FEMALE,01-01-2019,55000,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK WINGED LORI ,FEMALE,01-01-2019,55000,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK WINGED LORI ,MALE,01-01-2019,55000,Unknown,0,0,1997-03-21,None,3,Lori
,BLACK WINGED LORI ,MALE,01-01-2019,55000,Unknown,0,0,1997-03-21,None,3,Lori
